file,expected_level,state
voice_samples/level1_calm/calm_01.wav,1,calm
voice_samples/level1_calm/calm_02.wav,1,calm
voice_samples/level1_calm/calm_03.wav,1,calm
voice_samples/level1_calm/calm_04.wav,1,calm
voice_samples/level1_calm/calm_05.wav,1,calm
voice_samples/level2_focused/focused_01.wav,2,focused
voice_samples/level2_focused/focused_02.wav,2,focused
voice_samples/level2_focused/focused_03.wav,2,focused
voice_samples/level2_focused/focused_04.wav,2,focused
voice_samples/level2_focused/focused_05.wav,2,focused
voice_samples/level3_stressed/stressed_01.wav,3,stressed
voice_samples/level3_stressed/stressed_02.wav,3,stressed
voice_samples/level3_stressed/stressed_03.wav,3,stressed
voice_samples/level3_stressed/stressed_04.wav,3,stressed
voice_samples/level3_stressed/stressed_05.wav,3,stressed
voice_samples/level4_angry/angry_01.wav,4,angry
voice_samples/level4_angry/angry_02.wav,4,angry
voice_samples/level4_angry/angry_03.wav,4,angry
voice_samples/level4_angry/angry_04.wav,4,angry
voice_samples/level4_angry/angry_05.wav,4,angry
voice_samples/level5_highrisk/highrisk_01.wav,5,highrisk
voice_samples/level5_highrisk/highrisk_02.wav,5,highrisk
voice_samples/level5_highrisk/highrisk_03.wav,5,highrisk
voice_samples/level5_highrisk/highrisk_04.wav,5,highrisk
voice_samples/level5_highrisk/highrisk_05.wav,5,highrisk
